               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12693,             0.11916,            0.066945,          0.00046707,           0.0075671,          0.00024362,          5.7678e-05,            0.089088,             0.12717,             0.05189,              0.0847,              0.0017,              0.0017
                   1,             0.11689,             0.12852,            0.065165,           0.0060151,             0.10294,           0.0047976,           0.0010526,            0.083565,             0.10985,            0.052628,            0.068494,           0.0034942,           0.0034942
                   2,             0.10307,              0.1146,            0.061091,             0.25058,             0.20347,            0.049915,            0.014111,            0.080243,            0.094249,            0.049703,            0.052283,           0.0052825,           0.0052825
                   3,             0.10032,             0.10843,            0.059843,             0.14684,             0.16955,            0.043963,            0.014031,            0.077592,              0.0815,             0.04894,            0.036065,           0.0070649,           0.0070649
                   4,            0.095383,             0.10305,            0.059401,             0.12895,             0.19561,            0.029967,           0.0096808,            0.089026,            0.077558,             0.04867,            0.019841,           0.0088413,           0.0088413
                   5,            0.093079,             0.10454,            0.058139,            0.018862,             0.29265,            0.017588,            0.003507,            0.081594,            0.079322,             0.04837,           0.0099175,           0.0099175,           0.0099175
                   6,            0.090884,            0.097767,             0.05909,             0.24777,             0.23214,            0.053917,             0.01262,            0.072687,            0.096941,            0.047445,           0.0099175,           0.0099175,           0.0099175
                   7,            0.085037,             0.10658,            0.059125,             0.16772,             0.21691,            0.064257,            0.023519,            0.073355,              0.1078,            0.047551,            0.009901,            0.009901,            0.009901
                   8,            0.078941,             0.10447,            0.059176,             0.16718,             0.24136,            0.073806,            0.021994,            0.069614,            0.092826,            0.047165,           0.0098845,           0.0098845,           0.0098845
                   9,            0.080133,            0.094974,            0.058715,              0.2775,             0.35753,             0.11247,            0.039341,            0.054884,            0.094459,            0.046789,            0.009868,            0.009868,            0.009868
                  10,            0.077701,            0.095517,            0.058619,             0.16784,             0.38244,            0.087369,            0.018876,            0.066201,            0.080799,            0.046661,           0.0098515,           0.0098515,           0.0098515
                  11,             0.07484,            0.095499,            0.058513,             0.18285,              0.4051,             0.12547,            0.052724,             0.05507,            0.077727,            0.046666,            0.009835,            0.009835,            0.009835
                  12,            0.072376,            0.093993,            0.058413,             0.38664,             0.30903,             0.13063,             0.05109,            0.055501,             0.10013,             0.04687,           0.0098185,           0.0098185,           0.0098185
                  13,            0.070709,            0.094416,             0.05823,             0.17174,             0.40713,              0.1062,            0.037551,            0.066974,            0.083732,            0.046722,            0.009802,            0.009802,            0.009802
                  14,            0.069658,            0.094522,            0.058197,              0.3864,              0.4362,             0.14772,             0.05891,             0.05788,            0.081796,            0.046575,           0.0097855,           0.0097855,           0.0097855
